iter	Passed	Remaining
0	5	575
1	13	648
2	19	632
3	22	542
4	27	528
5	30	473
6	32	434
7	35	407
8	38	386
9	40	368
10	43	350
11	46	338
12	48	326
13	51	315
14	53	304
15	57	300
16	59	292
17	62	283
18	64	274
19	66	267
20	68	259
21	70	251
22	72	244
23	75	238
24	77	232
25	79	226
26	81	221
27	84	217
28	87	214
29	89	209
30	92	205
31	94	200
32	96	196
33	100	195
34	102	190
35	105	186
36	106	181
37	109	178
38	111	174
39	113	170
40	116	167
41	116	161
42	118	157
43	122	155
44	124	151
45	126	148
46	128	145
47	131	142
48	134	140
49	136	136
50	138	133
51	141	130
52	144	128
53	147	125
54	149	122
55	151	119
56	153	115
57	155	112
58	158	110
59	160	107
60	162	104
61	165	101
62	166	98
63	169	95
64	171	92
65	173	89
66	176	86
67	179	84
68	181	81
69	183	78
70	185	75
71	187	72
72	189	69
73	191	67
74	194	64
75	196	62
76	198	59
77	200	56
78	203	54
79	205	51
80	208	48
81	210	46
82	212	43
83	214	40
84	216	38
85	219	35
86	221	33
87	223	30
88	226	27
89	228	25
90	230	22
91	233	20
92	235	17
93	237	15
94	240	12
95	242	10
96	244	7
97	246	5
98	249	2
99	251	0
