iter	Passed	Remaining
0	202	202517
1	207	103342
2	211	70192
3	214	53512
4	220	43792
5	223	37078
6	228	32350
7	232	28885
8	237	26100
9	240	23799
10	244	21978
11	248	20489
12	252	19151
13	255	18024
14	260	17120
15	264	16288
16	268	15523
17	272	14850
18	276	14291
19	280	13766
20	285	13293
21	290	12925
22	295	12563
23	307	12504
24	310	12098
25	312	11719
26	314	11339
27	316	10991
28	318	10677
29	321	10394
30	323	10112
31	325	9837
32	326	9573
33	328	9344
34	330	9122
35	332	8909
36	334	8716
37	337	8534
38	338	8346
39	340	8170
40	342	8002
41	343	7841
42	345	7697
43	347	7554
44	349	7425
45	351	7286
46	353	7158
47	354	7035
48	356	6925
49	358	6811
50	360	6705
51	362	6610
52	364	6512
53	366	6416
54	367	6320
55	371	6254
56	372	6167
57	374	6087
58	376	6012
59	378	5936
60	381	5865
61	382	5789
62	384	5719
63	386	5651
64	388	5587
65	391	5538
66	393	5480
67	395	5426
68	397	5367
69	399	5305
70	401	5255
71	403	5202
72	405	5152
73	408	5109
74	411	5070
75	413	5023
76	415	4975
77	416	4925
78	418	4874
79	419	4826
80	421	4783
81	423	4743
82	424	4694
83	426	4656
84	428	4612
85	430	4571
86	431	4528
87	433	4489
88	434	4450
89	436	4418
90	439	4386
91	441	4356
92	443	4320
93	444	4285
94	446	4250
95	447	4217
96	449	4186
97	451	4157
98	454	4132
99	456	4105
100	457	4073
101	459	4043
102	460	4013
103	462	3984
104	463	3954
105	465	3925
106	467	3904
107	470	3883
108	472	3862
109	474	3837
110	475	3811
111	477	3785
112	478	3759
113	481	3739
114	483	3720
115	485	3697
116	486	3674
117	488	3651
118	490	3628
119	491	3605
120	493	3582
121	494	3558
122	497	3544
123	499	3526
124	501	3509
125	502	3488
126	504	3465
127	505	3445
128	507	3425
129	508	3406
130	510	3389
131	513	3376
132	515	3359
133	517	3342
134	518	3325
135	520	3306
136	521	3287
137	523	3270
138	525	3253
139	526	3237
140	528	3221
141	530	3203
142	532	3189
143	534	3174
144	535	3158
145	537	3143
146	539	3130
147	541	3115
148	543	3103
149	545	3091
150	547	3077
151	549	3063
152	550	3047
153	552	3033
154	554	3020
155	556	3008
156	558	2997
157	560	2987
158	562	2976
159	564	2963
160	565	2948
161	567	2936
162	569	2923
163	571	2912
164	574	2905
165	576	2895
166	578	2886
167	580	2875
168	582	2863
169	584	2852
170	586	2842
171	588	2834
172	591	2827
173	593	2817
174	595	2806
175	597	2795
176	598	2784
177	600	2774
178	603	2767
179	605	2757
180	607	2749
181	609	2739
182	611	2728
183	612	2717
184	614	2706
185	616	2697
186	618	2689
187	620	2681
188	623	2674
189	624	2663
190	626	2652
191	627	2642
192	629	2633
193	631	2623
194	633	2615
195	636	2608
196	638	2602
197	640	2592
198	641	2582
199	643	2572
200	644	2563
201	647	2557
202	650	2552
203	651	2543
204	653	2536
205	655	2526
206	656	2516
207	658	2507
208	659	2497
209	662	2490
210	664	2485
211	667	2480
212	672	2485
213	674	2477
214	676	2468
215	678	2461
216	680	2454
217	683	2451
218	685	2444
219	687	2437
220	689	2430
221	691	2422
222	695	2422
223	697	2417
224	700	2411
225	701	2403
226	703	2395
227	704	2387
228	708	2384
229	710	2379
230	712	2371
231	714	2364
232	715	2356
233	717	2348
234	718	2339
235	720	2332
236	722	2325
237	724	2319
238	726	2312
239	728	2306
240	729	2298
241	731	2290
242	732	2282
243	734	2275
244	735	2267
245	737	2261
246	739	2254
247	741	2248
248	743	2242
249	745	2235
250	746	2228
251	748	2222
252	749	2214
253	751	2206
254	753	2200
255	755	2194
256	756	2188
257	758	2180
258	759	2173
259	761	2166
260	763	2160
261	765	2154
262	766	2149
263	768	2143
264	770	2137
265	772	2131
266	773	2124
267	775	2117
268	776	2111
269	778	2104
270	780	2098
271	781	2091
272	783	2085
273	784	2079
274	786	2073
275	787	2066
276	789	2060
277	791	2054
278	792	2048
279	794	2042
280	795	2036
281	797	2030
282	799	2025
283	801	2019
284	802	2013
285	804	2008
286	805	2001
287	807	1995
288	808	1989
289	810	1983
290	811	1977
291	813	1972
292	815	1967
293	816	1961
294	818	1956
295	820	1950
296	821	1944
297	823	1938
298	824	1933
299	825	1926
300	827	1921
301	829	1916
302	831	1911
303	832	1906
304	834	1902
305	836	1897
306	837	1891
307	839	1885
308	840	1880
309	842	1875
310	844	1870
311	846	1866
312	848	1862
313	850	1857
314	852	1852
315	853	1848
316	855	1842
317	856	1837
318	859	1835
319	861	1831
320	863	1827
321	865	1822
322	866	1817
323	868	1812
324	870	1807
325	872	1804
326	875	1801
327	878	1798
328	879	1794
329	881	1789
330	883	1786
331	885	1781
332	887	1777
333	890	1775
334	893	1773
335	895	1769
336	897	1765
337	899	1761
338	900	1756
339	902	1752
340	904	1748
341	906	1744
342	908	1740
343	910	1735
344	912	1733
345	915	1729
346	917	1727
347	920	1723
348	921	1719
349	924	1716
350	925	1711
351	927	1706
352	928	1702
353	930	1698
354	932	1693
355	934	1689
356	936	1686
357	938	1683
358	940	1679
359	942	1675
360	943	1670
361	945	1666
362	947	1662
363	949	1658
364	951	1655
365	953	1652
366	955	1647
367	956	1643
368	958	1639
369	960	1634
370	961	1630
371	963	1626
372	964	1622
373	966	1617
374	968	1613
375	969	1609
376	971	1604
377	972	1601
378	974	1596
379	976	1592
380	977	1588
381	979	1585
382	981	1581
383	983	1578
384	985	1573
385	987	1571
386	989	1567
387	991	1563
388	992	1559
389	994	1555
390	996	1552
391	998	1548
392	999	1544
393	1001	1540
394	1002	1535
395	1003	1531
396	1005	1527
397	1006	1523
398	1008	1519
399	1010	1515
400	1012	1512
401	1014	1509
402	1016	1505
403	1017	1501
404	1019	1497
405	1020	1493
406	1022	1489
407	1023	1485
408	1025	1482
409	1027	1478
410	1029	1474
411	1030	1470
412	1031	1466
413	1033	1462
414	1034	1458
415	1036	1454
416	1037	1450
417	1039	1446
418	1041	1443
419	1043	1440
420	1045	1437
421	1046	1433
422	1048	1429
423	1049	1425
424	1051	1422
425	1052	1418
426	1054	1415
427	1056	1411
428	1058	1409
429	1060	1405
430	1061	1401
431	1062	1397
432	1064	1393
433	1065	1389
434	1067	1385
435	1068	1382
436	1070	1379
437	1072	1376
438	1074	1373
439	1076	1369
440	1077	1365
441	1079	1362
442	1080	1358
443	1082	1355
444	1083	1351
445	1086	1349
446	1088	1346
447	1090	1343
448	1091	1339
449	1093	1336
450	1094	1332
451	1096	1328
452	1097	1325
453	1099	1322
454	1101	1319
455	1102	1315
456	1104	1312
457	1105	1308
458	1107	1305
459	1108	1301
460	1109	1297
461	1111	1294
462	1112	1290
463	1115	1288
464	1117	1285
465	1118	1282
466	1120	1278
467	1121	1275
468	1123	1271
469	1124	1268
470	1125	1264
471	1127	1261
472	1129	1258
473	1132	1256
474	1134	1253
475	1135	1249
476	1137	1246
477	1138	1243
478	1140	1240
479	1141	1236
480	1143	1233
481	1145	1230
482	1147	1227
483	1148	1224
484	1150	1221
485	1151	1218
486	1153	1214
487	1154	1211
488	1156	1208
489	1157	1204
490	1159	1201
491	1161	1198
492	1162	1195
493	1164	1192
494	1165	1189
495	1167	1186
496	1168	1182
497	1169	1179
498	1171	1176
499	1173	1173
500	1175	1170
501	1177	1168
502	1178	1164
503	1180	1161
504	1181	1158
505	1183	1155
506	1185	1152
507	1186	1149
508	1188	1146
509	1190	1143
510	1192	1140
511	1193	1137
512	1194	1134
513	1196	1130
514	1197	1127
515	1198	1124
516	1200	1121
517	1202	1118
518	1203	1115
519	1206	1113
520	1208	1110
521	1209	1107
522	1211	1104
523	1212	1101
524	1214	1098
525	1215	1095
526	1217	1092
527	1219	1089
528	1221	1087
529	1223	1084
530	1224	1081
531	1226	1078
532	1227	1075
533	1229	1073
534	1231	1070
535	1233	1067
536	1235	1065
537	1237	1062
538	1239	1059
539	1241	1057
540	1242	1054
541	1243	1051
542	1245	1048
543	1246	1045
544	1248	1042
545	1250	1039
546	1251	1036
547	1253	1034
548	1255	1031
549	1257	1028
550	1259	1025
551	1260	1022
552	1261	1020
553	1263	1017
554	1265	1014
555	1267	1012
556	1269	1009
557	1271	1006
558	1272	1004
559	1274	1001
560	1275	998
561	1277	995
562	1279	993
563	1281	990
564	1283	988
565	1285	985
566	1286	982
567	1288	979
568	1290	977
569	1291	974
570	1293	971
571	1295	969
572	1296	966
573	1298	964
574	1300	961
575	1301	958
576	1302	955
577	1304	952
578	1305	949
579	1307	946
580	1308	943
581	1310	941
582	1312	939
583	1314	936
584	1316	933
585	1317	931
586	1319	928
587	1320	925
588	1322	922
589	1324	920
590	1326	918
591	1328	915
592	1329	912
593	1331	910
594	1332	907
595	1334	904
596	1335	901
597	1337	899
598	1339	896
599	1340	893
600	1342	891
601	1344	888
602	1345	886
603	1347	883
604	1348	880
605	1350	877
606	1351	875
607	1352	872
608	1355	870
609	1356	867
610	1358	864
611	1359	862
612	1361	859
613	1362	856
614	1364	854
615	1365	851
616	1367	849
617	1369	846
618	1371	844
619	1373	841
620	1374	839
621	1376	836
622	1377	833
623	1379	831
624	1381	828
625	1382	826
626	1384	823
627	1386	821
628	1388	819
629	1390	816
630	1391	813
631	1392	811
632	1394	808
633	1395	805
634	1397	803
635	1399	800
636	1401	798
637	1403	796
638	1405	793
639	1406	791
640	1408	788
641	1409	786
642	1411	783
643	1413	781
644	1415	778
645	1417	776
646	1418	774
647	1420	771
648	1421	768
649	1423	766
650	1424	763
651	1426	761
652	1428	758
653	1429	756
654	1431	753
655	1433	751
656	1434	748
657	1436	746
658	1437	743
659	1439	741
660	1440	738
661	1442	736
662	1443	733
663	1445	731
664	1447	729
665	1449	726
666	1450	724
667	1451	721
668	1453	719
669	1455	716
670	1456	714
671	1458	711
672	1460	709
673	1461	707
674	1463	704
675	1465	702
676	1467	699
677	1468	697
678	1470	695
679	1471	692
680	1473	690
681	1475	687
682	1477	685
683	1479	683
684	1481	681
685	1483	678
686	1484	676
687	1486	674
688	1487	671
689	1489	669
690	1490	666
691	1492	664
692	1494	662
693	1496	659
694	1498	657
695	1499	655
696	1501	652
697	1502	650
698	1504	647
699	1506	645
700	1508	643
701	1510	641
702	1511	638
703	1513	636
704	1514	633
705	1516	631
706	1517	629
707	1519	626
708	1521	624
709	1523	622
710	1525	619
711	1526	617
712	1527	614
713	1529	612
714	1530	610
715	1531	607
716	1533	605
717	1534	602
718	1536	600
719	1538	598
720	1540	596
721	1542	593
722	1543	591
723	1544	588
724	1546	586
725	1547	584
726	1549	581
727	1551	579
728	1553	577
729	1555	575
730	1557	573
731	1558	570
732	1559	568
733	1561	565
734	1562	563
735	1564	561
736	1566	559
737	1568	556
738	1570	554
739	1572	552
740	1573	550
741	1575	547
742	1577	545
743	1578	543
744	1581	541
745	1583	539
746	1584	536
747	1586	534
748	1587	532
749	1589	529
750	1591	527
751	1592	525
752	1594	522
753	1595	520
754	1598	518
755	1599	516
756	1601	514
757	1602	511
758	1604	509
759	1606	507
760	1607	504
761	1608	502
762	1610	500
763	1612	498
764	1614	495
765	1615	493
766	1617	491
767	1618	488
768	1619	486
769	1621	484
770	1622	482
771	1624	479
772	1626	477
773	1628	475
774	1630	473
775	1631	470
776	1633	468
777	1634	466
778	1636	464
779	1638	462
780	1639	459
781	1640	457
782	1642	455
783	1644	453
784	1645	450
785	1647	448
786	1648	446
787	1650	444
788	1652	441
789	1653	439
790	1655	437
791	1657	435
792	1658	433
793	1660	430
794	1661	428
795	1663	426
796	1665	424
797	1666	421
798	1668	419
799	1669	417
800	1671	415
801	1673	413
802	1675	411
803	1676	408
804	1678	406
805	1680	404
806	1681	402
807	1683	399
808	1684	397
809	1686	395
810	1688	393
811	1690	391
812	1691	389
813	1693	386
814	1695	384
815	1696	382
816	1698	380
817	1699	378
818	1700	375
819	1702	373
820	1704	371
821	1706	369
822	1708	367
823	1709	365
824	1711	363
825	1713	360
826	1714	358
827	1716	356
828	1718	354
829	1720	352
830	1722	350
831	1723	348
832	1725	345
833	1726	343
834	1727	341
835	1729	339
836	1730	337
837	1732	335
838	1734	332
839	1736	330
840	1737	328
841	1738	326
842	1740	324
843	1741	321
844	1743	319
845	1744	317
846	1745	315
847	1747	313
848	1750	311
849	1751	309
850	1753	306
851	1754	304
852	1756	302
853	1757	300
854	1759	298
855	1761	296
856	1763	294
857	1765	292
858	1766	290
859	1768	287
860	1769	285
861	1771	283
862	1773	281
863	1774	279
864	1776	277
865	1778	275
866	1780	273
867	1782	271
868	1783	268
869	1785	266
870	1786	264
871	1788	262
872	1789	260
873	1791	258
874	1793	256
875	1795	254
876	1796	252
877	1798	249
878	1800	247
879	1801	245
880	1803	243
881	1804	241
882	1806	239
883	1808	237
884	1809	235
885	1811	233
886	1813	231
887	1814	228
888	1816	226
889	1817	224
890	1819	222
891	1820	220
892	1822	218
893	1824	216
894	1826	214
895	1827	212
896	1829	210
897	1830	207
898	1831	205
899	1833	203
900	1834	201
901	1836	199
902	1837	197
903	1839	195
904	1841	193
905	1843	191
906	1844	189
907	1845	187
908	1847	184
909	1849	182
910	1852	180
911	1857	179
912	1858	177
913	1860	175
914	1862	172
915	1864	171
916	1867	169
917	1870	167
918	1871	164
919	1873	162
920	1875	160
921	1876	158
922	1878	156
923	1880	154
924	1881	152
925	1883	150
926	1885	148
927	1887	146
928	1889	144
929	1890	142
930	1892	140
931	1894	138
932	1895	136
933	1897	134
934	1898	132
935	1900	129
936	1902	127
937	1903	125
938	1905	123
939	1907	121
940	1908	119
941	1910	117
942	1911	115
943	1913	113
944	1915	111
945	1916	109
946	1918	107
947	1920	105
948	1921	103
949	1923	101
950	1924	99
951	1925	97
952	1927	95
953	1929	93
954	1931	91
955	1933	88
956	1934	86
957	1936	84
958	1937	82
959	1939	80
960	1940	78
961	1942	76
962	1943	74
963	1945	72
964	1947	70
965	1948	68
966	1950	66
967	1951	64
968	1952	62
969	1954	60
970	1956	58
971	1957	56
972	1959	54
973	1961	52
974	1963	50
975	1965	48
976	1966	46
977	1968	44
978	1969	42
979	1971	40
980	1973	38
981	1976	36
982	1978	34
983	1979	32
984	1981	30
985	1983	28
986	1984	26
987	1986	24
988	1987	22
989	1990	20
990	1992	18
991	1993	16
992	1995	14
993	1997	12
994	1998	10
995	2000	8
996	2001	6
997	2003	4
998	2005	2
999	2007	0
